caseFolderId,caseFolderTypeCd,caseFolderTypeName,caseTypeCd,stateJursdCd,userId,ipAddress,accessType,casefolderseq,Gstin,Case ID
51455092,INTIM,INTIMATIONS,ADJDT,,,,W,1,33AAKCP2084J1Z9,8820881
51455093,NOTCE,NOTICES,ADJDT,,,,R,2,33AAKCP2084J1Z9,8820881
51455097,REPLY,REPLIES,ADJDT,,,,W,3,33AAKCP2084J1Z9,8820881
51455094,ORDRS,ORDERS,ADJDT,,,,R,5,33AAKCP2084J1Z9,8820881
